city,confirm,dead,deadRate,heal,healRate,province,showHeal,showRate,suspect,update_time
武汉,48137,2132,4.43,15826,32.88,湖北,True,False,0,2020-02-28 17:41:58
孝感,3517,114,3.24,1795,51.04,湖北,True,False,0,2020-02-28 17:41:58
黄冈,2904,114,3.93,2041,70.28,湖北,True,False,0,2020-02-28 17:41:58
荆州,1579,46,2.91,913,57.82,湖北,True,False,0,2020-02-28 17:41:58
鄂州,1389,43,3.10,685,49.32,湖北,True,False,0,2020-02-28 17:41:58
随州,1307,38,2.91,740,56.62,湖北,True,False,0,2020-02-28 17:41:58
襄阳,1175,32,2.72,753,64.09,湖北,True,False,0,2020-02-28 17:41:58
黄石,1013,33,3.26,653,64.46,湖北,True,False,0,2020-02-28 17:41:58
宜昌,931,31,3.33,429,46.08,湖北,True,False,0,2020-02-28 17:41:58
荆门,924,37,4.00,534,57.79,湖北,True,False,0,2020-02-28 17:41:58
咸宁,836,11,1.32,644,77.03,湖北,True,False,0,2020-02-28 17:41:58
十堰,671,6,0.89,389,57.97,湖北,True,False,0,2020-02-28 17:41:58
仙桃,575,19,3.30,388,67.48,湖北,True,False,0,2020-02-28 17:41:58
天门,496,13,2.62,332,66.94,湖北,True,False,0,2020-02-28 17:41:58
恩施州,251,4,1.59,172,68.53,湖北,True,False,0,2020-02-28 17:41:58
潜江,198,9,4.55,99,50.00,湖北,True,False,0,2020-02-28 17:41:58
神农架,11,0,0.00,10,90.91,湖北,True,False,0,2020-02-28 17:41:58
监狱系统,0,0,0.00,0,0.00,湖北,True,False,0,2020-02-28 17:41:58
深圳,417,3,0.72,281,67.39,广东,True,False,0,2020-02-28 17:41:58
广州,346,1,0.29,241,69.65,广东,True,False,0,2020-02-28 17:41:58
珠海,98,1,1.02,63,64.29,广东,False,False,0,2020-02-28 17:41:58
东莞,98,1,1.02,47,47.96,广东,True,False,0,2020-02-28 17:41:58
佛山,84,0,0.00,46,54.76,广东,False,False,0,2020-02-28 17:41:58
中山,66,0,0.00,56,84.85,广东,False,False,0,2020-02-28 17:41:58
惠州,62,0,0.00,54,87.10,广东,False,False,0,2020-02-28 17:41:58
汕头,25,0,0.00,22,88.00,广东,False,False,0,2020-02-28 17:41:58
江门,23,0,0.00,13,56.52,广东,False,False,0,2020-02-28 17:41:58
湛江,22,0,0.00,17,77.27,广东,False,False,0,2020-02-28 17:41:58
肇庆,19,1,5.26,13,68.42,广东,False,False,0,2020-02-28 17:41:58
梅州,16,0,0.00,12,75.00,广东,False,False,0,2020-02-28 17:41:58
阳江,14,0,0.00,10,71.43,广东,False,False,0,2020-02-28 17:41:58
茂名,14,0,0.00,9,64.29,广东,False,False,0,2020-02-28 17:41:58
清远,12,0,0.00,12,100.00,广东,False,False,0,2020-02-28 17:41:58
韶关,10,0,0.00,7,70.00,广东,False,False,0,2020-02-28 17:41:58
揭阳,8,0,0.00,5,62.50,广东,False,False,0,2020-02-28 17:41:58
汕尾,5,0,0.00,4,80.00,广东,False,False,0,2020-02-28 17:41:58
潮州,5,0,0.00,3,60.00,广东,False,False,0,2020-02-28 17:41:58
河源,4,0,0.00,4,100.00,广东,False,False,0,2020-02-28 17:41:58
地区待确认,0,0,0.00,0,0.00,广东,False,False,0,2020-02-28 17:41:58
信阳,274,3,1.09,28,10.22,河南,False,False,0,2020-02-28 17:41:58
郑州,157,1,0.64,36,22.93,河南,False,False,0,2020-02-28 17:41:58
南阳,156,3,1.92,28,17.95,河南,False,False,0,2020-02-28 17:41:58
驻马店,139,0,0.00,25,17.99,河南,False,False,0,2020-02-28 17:41:58
商丘,91,3,3.30,9,9.89,河南,False,False,0,2020-02-28 17:41:58
周口,76,1,1.32,16,21.05,河南,False,False,0,2020-02-28 17:41:58
平顶山,58,1,1.72,13,22.41,河南,False,False,0,2020-02-28 17:41:58
新乡,57,3,5.26,6,10.53,河南,False,False,0,2020-02-28 17:41:58
安阳,53,0,0.00,10,18.87,河南,False,False,0,2020-02-28 17:41:58
许昌,39,0,0.00,2,5.13,河南,False,False,0,2020-02-28 17:41:58
漯河,35,0,0.00,6,17.14,河南,False,False,0,2020-02-28 17:41:58
焦作,32,1,3.12,1,3.12,河南,False,False,0,2020-02-28 17:41:58
洛阳,31,1,3.23,2,6.45,河南,False,False,0,2020-02-28 17:41:58
开封,26,0,0.00,1,3.85,河南,False,False,0,2020-02-28 17:41:58
鹤壁,19,0,0.00,3,15.79,河南,False,False,0,2020-02-28 17:41:58
濮阳,17,0,0.00,1,5.88,河南,False,False,0,2020-02-28 17:41:58
三门峡,7,1,14.29,3,42.86,河南,False,False,0,2020-02-28 17:41:58
济源示范区,5,0,0.00,0,0.00,河南,False,False,0,2020-02-28 17:41:58
地区待确认,0,2,0.00,913,0.00,河南,False,False,0,2020-02-28 17:41:58
温州,504,1,0.20,384,76.19,浙江,True,False,0,2020-02-28 17:41:58
杭州,169,0,0.00,151,89.35,浙江,True,False,0,2020-02-28 17:41:58
宁波,157,0,0.00,138,87.90,浙江,True,False,0,2020-02-28 17:41:58
台州,146,0,0.00,103,70.55,浙江,True,False,0,2020-02-28 17:41:58
金华,55,0,0.00,50,90.91,浙江,True,False,0,2020-02-28 17:41:58
嘉兴,45,0,0.00,32,71.11,浙江,True,False,0,2020-02-28 17:41:58
绍兴,42,0,0.00,36,85.71,浙江,True,False,0,2020-02-28 17:41:58
省十里丰监狱,36,0,0.00,5,13.89,浙江,True,False,0,2020-02-28 17:41:58
丽水,17,0,0.00,17,100.00,浙江,True,False,0,2020-02-28 17:41:58
衢州,14,0,0.00,11,78.57,浙江,True,False,0,2020-02-28 17:41:58
湖州,10,0,0.00,9,90.00,浙江,True,False,0,2020-02-28 17:41:58
舟山,10,0,0.00,7,70.00,浙江,True,False,0,2020-02-28 17:41:58
长沙,242,2,0.83,172,71.07,湖南,True,False,0,2020-02-28 17:41:58
岳阳,156,1,0.64,113,72.44,湖南,True,False,0,2020-02-28 17:41:58
邵阳,102,1,0.98,92,90.20,湖南,True,False,0,2020-02-28 17:41:58
常德,82,0,0.00,69,84.15,湖南,True,False,0,2020-02-28 17:41:58
株洲,80,0,0.00,56,70.00,湖南,True,False,0,2020-02-28 17:41:58
娄底,76,0,0.00,60,78.95,湖南,True,False,0,2020-02-28 17:41:58
